id,conversation_id,created_at,user_id,username,name,tweet,replies_count,retweets_count,likes_count,hashtags,link,near
1504696087684300815,1504696087684300815,2022-03-18 05:47:57 UTC,2263883537,muthonikimathi,Muthoni Kimathi,"#USians still coping with the fact that only so called  white majority nations and some of them just for show are ""united"" against #Russia.  Reality will set in soon enough...",0,0,0,"['usians', 'russia']",https://twitter.com/muthonikimathi/status/1504696087684300815,Kenya
1504691433604845571,1504449867372023811,2022-03-18 05:29:28 UTC,501725961,robaa82,RobaaKe 🇰🇪,"@Ohta_Ryota I believe it was in the context of "" with these economic challenges, I understand how u are coping with life more than them """,0,0,0,[],https://twitter.com/Robaa82/status/1504691433604845571,Kenya
1504685499818164225,1504685499818164225,2022-03-18 05:05:53 UTC,1091340457676816386,nauzwamimi,Proud Kenyan 🇰🇪,Note that they all have come together to discuss matters on coping with the market change amidst    #NMGSMEExpo SMEs Conference Exhibit At SMEsExpo,1,0,0,['nmgsmeexpo'],https://twitter.com/NauzwaMimi/status/1504685499818164225,Kenya
1504677844600901656,1504654661307052049,2022-03-18 04:35:28 UTC,1038322669173858304,ikamatikelvin,Ikamatikelvin,@ongwen_ They all have come together to discuss matters on coping with the market change amidst covid 19. #NMGSMEExpo SMEs Conference Exhibit At SMEsExpo,0,2,2,['nmgsmeexpo'],https://twitter.com/ikamatikelvin/status/1504677844600901656,Kenya
1503727057892691970,1503726692233269253,2022-03-15 13:37:23 UTC,1226027801465233408,tfreedomandlove,#thefreedomandlovespace ✨,"Helpful statements, such as these, help us cope during the uncertain phases of life and difficult times. Coping better then allows us to easier channel our energy into healing and recuperation.   https://t.co/GtwKYaMuY5",1,0,0,[],https://twitter.com/tfreedomandlove/status/1503727057892691970,Kenya
1503390724557271041,1503390724557271041,2022-03-14 15:20:55 UTC,2849410091,oxfaminke,Oxfam in Kenya,Three consecutive poor rainy seasons in the Arid and Semi-Arid Lands (ASAL) have exhausted families’ coping capacities and left more than 2.9 million people in urgent need of humanitarian assistance. The region is staring at its worst. Collective efforts critical @StateHouseKenya  https://t.co/UU4Rxe5pAf,0,5,4,[],https://twitter.com/oxfaminKE/status/1503390724557271041,Kenya
1503046439034925062,1503046439034925062,2022-03-13 16:32:50 UTC,36967214,ramzzy_,JA PUN,Debating between coping a PS5 or these Babies. 🥺  https://t.co/OLlfxlpIHz,7,2,8,[],https://twitter.com/RamzZy_/status/1503046439034925062,Kenya
1502614526381993992,1502592913838166019,2022-03-12 11:56:34 UTC,519706740,secret4survival,The Dark Arts of Personal Wellness,@Joseph590655891 1. Change your mentality about the job (learn some coping skills)  2. Try to change the job,0,0,0,[],https://twitter.com/Secret4survival/status/1502614526381993992,Kenya
1502183949216489472,1502183949216489472,2022-03-11 07:25:37 UTC,1398331201333739522,gcatalystsorg,GrowthCatalysts🇰🇪,Let's shed a little light on emotional self harm.   It is an unhealthy form of coping mechanism that affects the emotional wellness.   It is a form of self abuse that shows up as: 1. Excessive self criticism  2. Always picturing the worst case scenario #MentalHealthawarness  https://t.co/hIRklTDv0u,1,0,0,['mentalhealthawarness'],https://twitter.com/GCatalystsOrg/status/1502183949216489472,Kenya
1502128831016099845,1502128831016099845,2022-03-11 03:46:36 UTC,1069521732824895488,mutuahkiilu,Kiilu Mutua👽,"We need services  that will empower youth, nurture them and give them the coping skills they need to succeed in life.  #YouthParticipate  https://t.co/1neDkMTgbt",0,8,4,['youthparticipate'],https://twitter.com/mutuahkiilu/status/1502128831016099845,Kenya
